CourseID,GroupID,ComponentName,ComponentCode,Description,Weight,MaxScore,OrderIndex,DueDate,IsActive
1,1,Assignment 1,WA01,Variables and basic operations,0.20,100,1,2023-09-15,1
1,1,Assignment 2,WA02,Control structures and loops,0.20,100,2,2023-09-22,1
1,1,Assignment 3,WA03,Functions and modules,0.20,100,3,2023-09-29,1
1,1,Assignment 4,WA04,File handling and exceptions,0.20,100,4,2023-10-06,1
1,1,Assignment 5,WA05,Object-oriented programming basics,0.20,100,5,2023-10-13,1
1,2,Project 1,PROJ01,Simple calculator application,0.50,100,1,2023-10-27,1
1,2,Project 2,PROJ02,Text-based game development,0.50,100,2,2023-11-17,1
2,3,Lab 1,LAB01,Array implementation and operations,0.25,100,1,2024-02-09,1
2,3,Lab 2,LAB02,Linked list implementation,0.25,100,2,2024-02-16,1
2,3,Lab 3,LAB03,Stack and queue implementation,0.25,100,3,2024-02-23,1
2,3,Lab 4,LAB04,Binary tree traversal,0.25,100,4,2024-03-01,1
2,4,Theory 1,TH01,Big O notation analysis,0.33,100,1,2024-02-12,1
2,4,Theory 2,TH02,Algorithm complexity comparison,0.33,100,2,2024-02-26,1
2,4,Theory 3,TH03,Data structure efficiency analysis,0.34,100,3,2024-03-05,1
